year,issue,company,ticker,sponsorType,meanActivist,modeDistinct
2010,no-esg,VERIZON COMMUNICATIONS INC.,VZ,Individual,0.0,0
2010,gg,EASTMAN CHEMICAL COMPANY,EMN,Individual,1.0,0
2010,gg,"THE GOLDMAN SACHS GROUP, INC.",GS,other,0.0,0
2010,soc,"THE GOLDMAN SACHS GROUP, INC.",GS,Special Interest,0.0,0
2010,no-esg,"THE GOLDMAN SACHS GROUP, INC.",GS,Individual,0.0,0
2010,gg,"THE GOLDMAN SACHS GROUP, INC.",GS,,0.0,0
2010,soc,"THE GOLDMAN SACHS GROUP, INC.",GS,SRI fund,0.0,0
2010,soc,COLGATE-PALMOLIVE COMPANY,CL,Special Interest,0.0,0
2010,soc,ENLINK MIDSTREAM LLC,ENLC,public pension,0.0,0
2010,soc,ILLINOIS TOOL WORKS INC.,ITW,SRI fund,0.0,0
2010,gg,"FMC TECHNOLOGIES, INC.",FTI,union,0.0,-1
2010,no-esg,COLGATE-PALMOLIVE COMPANY,CL,Individual,0.0,0
2010,gg,REYNOLDS AMERICAN INC.,RAI,union,1.0,1
2010,gg,"THE GOLDMAN SACHS GROUP, INC.",GS,fund,0.0,0
2010,soc,OCCIDENTAL PETROLEUM CORPORATION,OXY,,0.0,0
2010,env,OCCIDENTAL PETROLEUM CORPORATION,OXY,SRI fund,0.0,0
2010,soc,REYNOLDS AMERICAN INC.,RAI,religious,0.0,0
2010,soc,REYNOLDS AMERICAN INC.,RAI,religious,0.0,0
2010,no-esg,REYNOLDS AMERICAN INC.,RAI,fund,0.0,0
2010,gg,"THE GOLDMAN SACHS GROUP, INC.",GS,Individual,0.0,0
2010,gg,BARNES GROUP INC.,B,Individual,1.0,0
2010,no-esg,OCCIDENTAL PETROLEUM CORPORATION,OXY,Individual,0.0,0
2010,env,"ST. JUDE MEDICAL, INC.",STJ,SRI fund,0.0,0
2010,gg,PITNEY BOWES INC.,PBI,public pension,1.0,0
2010,gg,"GILEAD SCIENCES, INC.",GILD,Individual,0.0,-1
2010,no-esg,NISOURCE INC.,NI,union,0.0,0
2010,gg,SPRINT CORPORATION,S,Individual,0.0,-1
2010,gg,LOEWS CORPORATION,L,Individual,0.0,0
2010,gg,SPRINT CORPORATION,S,public pension,0.0,-1
2010,soc,SPRINT CORPORATION,S,public pension,0.0,0
2010,no-esg,3M COMPANY,MMM,Individual,0.0,0
2010,gg,DANAHER CORPORATION,DHR,Individual,1.0,0
2010,no-esg,"WASTE MANAGEMENT, INC.",WM,Individual,0.0,0
2010,soc,"WASTE MANAGEMENT, INC.",WM,fund,0.0,0
2010,gg,BELO CORP.,BLCBB,public pension,1.0,1
2010,no-esg,ITT INC.,ITT,Individual,0.0,-1
2010,gg,ALLIANCE FINANCIAL CORPORATION,ALNC,Individual,1.0,1
2010,soc,ITT INC.,ITT,religious,0.0,0
2010,soc,CONOCOPHILLIPS,COP,other,0.0,0
2010,no-esg,"PULTEGROUP, INC.",PHM,other,0.0,0
2010,no-esg,"PULTEGROUP, INC.",PHM,union,0.0,0
2010,gg,"PULTEGROUP, INC.",PHM,,0.0,0
2010,soc,CONOCOPHILLIPS,COP,religious,0.0,0
2010,env,CONOCOPHILLIPS,COP,fund,0.0,0
2010,env,CONOCOPHILLIPS,COP,fund,0.0,0
2010,env,CONOCOPHILLIPS,COP,company,0.0,0
2010,gg,CONOCOPHILLIPS,COP,,0.0,0
2010,env,CONOCOPHILLIPS,COP,religious,0.0,0
2010,env,CONOCOPHILLIPS,COP,religious,0.0,0
2010,gg,"GREAT SOUTHERN BANCORP, INC.",GSBC,Individual,1.0,1
2010,no-esg,QWEST COMMUNICATIONS INTERNATIONAL INC.,Q,Individual,0.0,-1
2010,gg,"PULTEGROUP, INC.",PHM,,0.0,0
2010,gg,QWEST COMMUNICATIONS INTERNATIONAL INC.,Q,Individual,0.0,0
2010,no-esg,PG&E CORPORATION,PCG,,0.0,0
2010,no-esg,"FISHER COMMUNICATIONS, INC.",FSCI,Individual,0.0,0
2010,gg,"FISHER COMMUNICATIONS, INC.",FSCI,Individual,0.0,0
2010,no-esg,AMGEN INC.,AMGN,union,0.0,0
2010,gg,AMGEN INC.,AMGN,Individual,0.0,-1
2010,no-esg,"PROGRESS ENERGY, INC.",PGN,,0.0,0
2010,soc,"AMERICAN INTERNATIONAL GROUP, INC.",AIG,public pension,0.0,0
2010,no-esg,"AMERICAN INTERNATIONAL GROUP, INC.",AIG,union,0.0,0
2010,gg,"AMERICAN INTERNATIONAL GROUP, INC.",AIG,Individual,0.0,0
2010,env,"CALATLANTIC GROUP, INC.",CAA,other,0.0,0
2010,gg,"LEGACY BANCORP, INC.",LEGC,Individual,1.0,0
2010,env,O'CHARLEY'S INC.,CHUX,Special Interest,0.0,0
2010,soc,PHILIP MORRIS INTERNATIONAL INC.,PM,religious,0.0,0
2010,soc,PHILIP MORRIS INTERNATIONAL INC.,PM,religious,0.0,0
2010,gg,QWEST COMMUNICATIONS INTERNATIONAL INC.,Q,,0.0,0
2010,gg,SEMPRA ENERGY,SRE,Individual,0.0,-1
2010,gg,QWEST COMMUNICATIONS INTERNATIONAL INC.,Q,Individual,0.0,0
2010,gg,PG&E CORPORATION,PCG,Individual,0.0,0
2010,gg,"PULTEGROUP, INC.",PHM,union,0.0,0
2010,no-esg,PG&E CORPORATION,PCG,Individual,0.0,0
2010,gg,"HEALTH NET, INC.",HNT,public pension,1.0,0
2010,soc,CVS HEALTH CORPORATION,CVS,religious,0.0,0
2010,gg,"PULTEGROUP, INC.",PHM,,0.0,0
2010,gg,BILL BARRETT CORPORATION,BBG,,0.0,-1
2010,soc,"LEGGETT & PLATT, INCORPORATED",LEG,public pension,1.0,1
2010,gg,VORNADO REALTY TRUST,VNO,Individual,1.0,0
2010,gg,VIRTUAL RADIOLOGIC CORPORATION,VRAD,,0.0,0
2010,soc,"REPUBLIC SERVICES, INC.",RSG,fund,0.0,0
2010,env,THE DOW CHEMICAL COMPANY,DWDP,religious,0.0,0
2010,gg,THE DOW CHEMICAL COMPANY,DWDP,Individual,0.0,0
2010,gg,VORNADO REALTY TRUST,VNO,fund,0.0,0
2010,no-esg,THE DOW CHEMICAL COMPANY,DWDP,other,0.0,0
2010,gg,NUCOR CORPORATION,NUE,union,0.0,0
2010,gg,VORNADO REALTY TRUST,VNO,union,1.0,0
2010,soc,FORD MOTOR COMPANY,F,SRI fund,0.0,0
2010,soc,NUCOR CORPORATION,NUE,SRI fund,0.0,0
2010,gg,WASHINGTON BANKING COMPANY,WBCO,Individual,1.0,0
2010,gg,FORD MOTOR COMPANY,F,,1.0,1
2010,gg,FORD MOTOR COMPANY,F,Individual,0.0,0
2010,soc,FORD MOTOR COMPANY,F,Individual,0.0,0
2010,soc,FORD MOTOR COMPANY,F,Individual,0.0,0
